Company Name,Industry,Symbol,Series,ISIN Code
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND,EQ,INE19RI01016
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
